Frequency (Hz),Gain (dB),Phase
1,99.94511869064955,-0.00598416180832649
1.2589254117941673,99.94511837181142,-0.007533613352764218
1.5848931924611136,99.9451178664879,-0.009484257260460888
1.99526231496888,99.9451170656044,-0.011939972413400985
2.5118864315095806,99.94511579628978,-0.015031534560114277
3.16227766016838,99.94511378455856,-0.018923580582019067
3.9810717055349736,99.945110596183,-0.023823375970166625
5.011872336272725,99.94510554295064,-0.029991852392639358
6.309573444801935,99.94509753411445,-0.03775750310681932
7.9432823472428185,99.94508484097314,-0.047533876122473416
10.000000000000005,99.94506472370404,-0.05984159654154502
12.58925411794168,99.9450328400129,-0.07533609054659687
15.848931924611145,99.94498230782159,-0.09484248684587074
19.95262314968881,99.94490221986077,-0.11939955302341448
25.118864315095824,99.94477528938607,-0.15031500419028823
31.622776601683825,99.94457411913504,-0.18923512461833594
39.81071705534977,99.9442552882596,-0.23823240053053732
50.11872336272729,99.94374998162475,-0.2999158120403967
63.0957344480194,99.94294914027778,-0.37756962019651963
79.43282347242825,99.94167993171185,-0.4753279652827489
100.00000000000014,99.93966847074225,-0.5983944252052922
125.89254117941691,99.93648076870682,-0.7533179287552448
158.4893192461116,99.93142922620557,-0.9483391239025006
199.52623149688827,99.92342463977606,-1.1938244639595057
251.18864315095843,99.9107421644163,-1.5028087723259804
316.2277660168385,99.89065168360564,-1.8916704898294974
398.10717055349795,99.85883522824248,-2.380966242270931
501.1872336272732,99.80847176061847,-2.99645068353402
630.9573444801945,99.72880690108153,-3.7702993839307584
794.3282347242831,99.6029364329738,-4.7425280712034645
1000.000000000002,99.40441778366578,-5.962543917492419
1258.9254117941698,99.09220404520146,-7.490642898209758
1584.8931924611168,98.60334890278278,-9.399029161484835
1995.2623149688839,97.84317174469778,-11.771501320156492
2511.8864315095857,96.67357966489755,-14.700251242390625
3162.2776601683863,94.90287160360175,-18.277294039287305
3981.0717055349814,92.2855221076935,-22.577364049109054
5011.872336272734,88.54737919191753,-27.630106589435005
6309.5734448019475,83.45375758667156,-33.38459618950391
7943.2823472428345,76.92014919996389,-39.67987546884042
10000.000000000025,69.11958175871825,-46.24505799763607
12589.254117941706,60.502102316005995,-52.7457344785619
15848.931924611177,51.679918638879336,-58.86321470609489
19952.62314968885,43.23948965320717,-64.36526920585739
25118.86431509587,35.597784996049064,-69.13462822549393
31622.776601683883,28.9624120110173,-73.15502552503064
39810.71705534984,23.37064067485348,-76.47705530347176
50118.72336272738,18.754141777762683,-79.18465391865473
63095.734448019524,14.994684449643426,-81.37138196043772
79432.82347242841,11.960480828954026,-83.1269138649379
100000.00000000033,9.525753101974292,-84.53084630358885
125892.54117941715,7.579289605113498,-85.65082625387686
158489.3192461119,6.026842566615425,-86.54287919478611
199526.23149688868,4.790506582032902,-87.25268096689348
251188.64315095893,3.8068487870807703,-87.81710915056638
316227.76601683913,3.024697308479018,-88.26575789026381
398107.1705534988,2.4030086168888785,-88.62228643765596
501187.2336272742,1.9089812307022664,-88.90556433110356
630957.3444801958,1.5164597785238767,-89.13061850676559
794328.2347242847,1.204617992243899,-89.30940451162188
1000000.0000000041,0.9568877333859698,-89.45142860794367
1258925.4117941724,0.760095800430428,-89.56424670537069
1584893.19246112,0.6037719990776746,-89.65386307399216
1995262.314968888,0.4795963757880384,-89.725048255164
2511886.4315095907,0.3809585612131751,-89.78159218857394
3162277.660168393,0.30260695268836896,-89.82650557834907
3981071.70553499,0.24036965313847122,-89.86217999245544
5011872.336272745,0.190932606039453,-89.89051510634394
6309573.444801961,0.15166326203917554,-89.91301980942016
7943282.347242852,0.12047046239572734,-89.9308925297501
10000000.000000047,0.09569311538583623,-89.94508504011112
12589254.117941732,0.07601175627748795,-89.95635313603908
15848931.92461121,0.06037829062636854,-89.96529688102555
19952623.149688892,0.04796018423867493,-89.97239256024724
25118864.315095924,0.03809613010209988,-89.97801804356638
31622776.60168395,0.03026083258515337,-89.98247290801658
39810717.05534992,0.024037034135319536,-89.98599439114072
50118723.36272748,0.019093295096584514,-89.98877002463917
63095734.448019646,0.015166343491381965,-89.99094762105834
79432823.47242856,0.012047054904056777,-89.99264314531878
100000000.00000052,0.009569315881393661,-89.99394689025537
125892541.17941739,0.007601177804662154,-89.99492828503273
158489319.2461122,0.006037830154121171,-89.9956395924977
199526231.49688905,0.004796018971463204,-89.99611869236476
251188643.1509594,0.0038096132853600263,-89.99639109844802
316227766.0168397,0.003026083397300846,-89.99647131736428
398107170.55349946,0.00240370348420214,-89.99636362106328
501187233.6272751,0.0019093295464782027,-89.9960622743244
630957344.4801968,0.0015166343693552332,-89.99555122933542
794328234.7242861,0.0012047055027582469,-89.99480327108812
1000000000.0000058,0.0009569315971251916,-89.99377856808042
1258925411.7941747,0.0007601177884883363,-89.99242255114464
1584893192.461123,0.0006037830238622812,-89.99066300744245
1995262314.9688916,0.00047960190695794496,-89.98840623487173
2511886431.5095954,0.00038096134047387395,-89.98553205209632
3162277660.168399,0.00030260835455136624,-89.98188739846758
3981071705.5349975,0.0002403703669750515,-89.97727818301914
5011872336.272755,0.0001909329779548276,-89.97145894847927
6309573444.801973,0.00015166346625116977,-89.96411979990474
7943282347.2428665,0.00012047058716893571,-89.95486990190093
10000000000.000065,0.0000956932061516248,-89.94321666572314
