Frequency (Hz),Gain (dB),Phase
1,10.987414128550974,-0.0006555593061206678
1.2589254117941673,10.987414128131405,-0.0008253002692098768
1.5848931924611136,10.987414127463534,-0.0010389914814722156
1.99526231496888,10.987414126408265,-0.0013080127784577931
2.5118864315095806,10.98741412473427,-0.0016466905257087382
3.16227766016838,10.987414122079846,-0.0020730605479182523
3.9810717055349736,10.987414117873719,-0.002609828602736765
5.011872336272725,10.98741411120719,-0.0032855795478326363
6.309573444801935,10.987414100640567,-0.004136299582130051
7.9432823472428185,10.987414083891924,-0.005207292649364077
10.000000000000005,10.987414057352899,-0.006555593032593407
12.58925411794168,10.987414015288158,-0.00825300263744222
15.848931924611145,10.987413948619384,-0.010389914702891767
19.95262314968881,10.987413842956613,-0.013080127562126728
25.118864315095824,10.98741367549276,-0.016466904812052107
31.622776601683825,10.987413410079832,-0.020730604586018588
39.81071705534977,10.98741298942879,-0.026098284241679273
50.11872336272729,10.987412322744143,-0.03285579190769182
63.0957344480194,10.987411266120645,-0.041362988708812505
79.43282347242825,10.987409591486543,-0.05207291230709832
100.00000000000014,10.98740693736744,-0.06555590200174698
125.89254117941691,10.987402730878102,-0.08252996986066771
158.4893192461116,10.987396064052994,-0.10389903426723554
199.52623149688827,10.98738549787183,-0.13080105064759182
251.18864315095843,10.987368751664638,-0.1646685992310395
316.2277660168385,10.987342210871915,-0.20730515025533477
398.10717055349795,10.987300146944335,-0.260981055551934
501.1872336272732,10.987233481101383,-0.32855435381078185
630.9573444801945,10.987127825346574,-0.4136227734725623
794.3282347242831,10.986960378503406,-0.5207149297464546
1000.000000000002,10.98669500882285,-0.6555307015749686
1258.9254117941698,10.986274465607426,-0.8252431984447791
1584.8931924611168,10.985608048437749,-1.0388776182385049
1995.2623149688839,10.98455209677122,-1.307785617781133
2511.8864315095857,10.982879149716785,-1.6462373632200729
3162.2776601683863,10.980229272336357,-2.0721566316366498
3981.0717055349814,10.976033425781498,-2.608025880496476
5011.872336272734,10.969393298798071,-3.2819852552466564
6309.5734448019475,10.958894047862504,-4.129136268397706
7943.2823472428345,10.94231543561597,-5.193025931628157
10000.000000000025,10.91619353718835,-6.527208862240666
12589.254117941706,10.875173624569983,-8.196624784263536
15848.931924611177,10.811098201447422,-10.278224542817119
19952.62314968885,10.711825533054215,-12.859747109638722
25118.86431509587,10.559941953955935,-16.034741651801774
31622.776601683883,10.33192219629511,-19.891001253645083
39810.71705534984,9.998970861270248,-24.489313010204384
50118.72336272738,9.531469728544346,-29.831761449212323
63095.734448019524,8.908543931925966,-35.82628765328583
79432.82347242841,8.131026835715002,-42.26594128268453
100000.00000000033,7.230568339676292,-48.84659012918243
125892.54117941715,6.265939556512861,-55.23000507802236
158489.3192461119,5.305790497610552,-61.12520352264152
199526.23149688868,4.408496719955522,-66.3448011316455
251188.64315095893,3.6106930224359584,-70.81490077149105
316227.76601683913,2.9269939193430083,-74.55011374338517
398107.1705534988,2.3560506401215306,-77.61778672262864
501187.2336272742,1.8875610265639993,-80.10788863174756
630957.3444801958,1.5075753716296054,-82.11357481830018
794328.2347242847,1.2016914806718142,-83.72096901729778
1000000.0000000041,0.9566513280876989,-85.00499881091451
1258925.4117941724,0.7609603554973939,-86.02859532909055
1584893.19246112,0.6049879922681793,-86.84350616015288
1995262.314968888,0.4808281109511236,-87.49173337377349
2511886.4315095907,0.38207038239578633,-88.00709504190753
3162277.660168393,0.30355703018864255,-88.41668297952657
3981071.70553499,0.24115788779201325,-88.74213195094812
5011872.336272745,0.19157554942829352,-89.0006843417561
6309573.444801961,0.15218240513393613,-89.20606439127813
7943282.347242852,0.12088706051981728,-89.36918696343307
10000000.000000047,0.09602615029771029,-89.4987277138079
12589254.117941732,0.07627735751671778,-89.6015795372589
15848931.92461121,0.060589797573699075,-89.6832168501908
19952623.149688892,0.04812845701037267,-89.74798572463546
25118864.315095924,0.03822992765242815,-89.79933463134064
31622776.60168395,0.030367178787551276,-89.83999773198352
39810717.05534992,0.02412154152499162,-89.87214030710265
50118723.36272748,0.019160438545783105,-89.89747397689491
63095734.448019646,0.01521968587613827,-89.91734780698219
79432823.47242856,0.012089430506970224,-89.93282012889726
100000000.00000052,0.009602978153294792,-89.94471488898196
125892541.17941739,0.0076279177781994915,-89.95366552096417
158489319.2461122,0.006059071025445887,-89.96014867582312
199526231.49688905,0.004812891490998982,-89.96450960379585
251188643.1509594,0.003823015774104286,-89.96698053951624
316227766.0168397,0.0030367294853146654,-89.96769306901717
398107170.55349946,0.0024121600637046063,-89.96668513701525
501187233.6272751,0.0019160469357101927,-89.96390306756693
630957344.4801968,0.001521970281030856,-89.95919870568393
794328234.7242861,0.0012089440872377886,-89.95232152771582
1000000000.0000058,0.0009602985712836889,-89.94290530043672
1258925411.7941747,0.0007627924543713427,-89.93044857857407
1584893192.461123,0.0006059078163762644,-89.9142880025915
1995262314.9688916,0.0004812899786487953,-89.8935629755153
2511886431.5095954,0.0003823025871122312,-89.86716983927592
3162277660.168399,0.00030367420230969057,-89.83370311340005
3981071705.5349975,0.00024121757608116964,-89.7913806730083
5011872336.272755,0.0001916066653552569,-89.73794889396368
6309573444.801973,0.00015219950823926545,-89.6705627385228
7943282347.2428665,0.0001208975299197314,-89.5856344449276
10000000000.000065,0.00009603378590204323,-89.478642861484
