X--Trace 1::[transient: TIME],Y--Trace 1::[Sum: V(4)],,X--Trace 2::[transient: TIME],Y--Trace 2::[2ndOrderFilter: V(17)],,X--Trace 3::[transient: TIME],Y--Trace 3::[Noise: V(1)],,X--Trace 4::[transient: TIME],Y--Trace 4::[4thOrderFilter: V(5)],,X--Trace 5::[transient: TIME],Y--Trace 5::[Clean: V(2)]
3.7252719604678996e-8,-0.012098178433306116,,3.7252719604678996e-8,-7.288889038529597e-10,,3.7252719604678996e-8,-0.008468549750332831,,3.7252719604678996e-8,-8.379613357211664e-7,,3.7252719604678996e-8,0.0035109853056074242
3.7906570435310407e-8,-0.009957016650002534,,3.7906570435310407e-8,-7.248969165485655e-10,,3.7906570435310407e-8,-0.008014996529495217,,3.7906570435310407e-8,-8.379954515822399e-7,,3.7906570435310407e-8,0.0035726092516417864
3.8302378289807296e-8,-0.009460038034522203,,3.8302378289807296e-8,-7.224616243614481e-10,,3.8302378289807296e-8,0.004145306327445321,,3.8302378289807296e-8,-8.38004583020977e-7,,3.8302378289807296e-8,0.0036099132363505036
3.860497305955392e-8,-0.008746806111872217,,3.860497305955392e-8,-7.205902575541769e-10,,3.860497305955392e-8,-0.012242321767776142,,3.860497305955392e-8,-8.380070666306534e-7,,3.860497305955392e-8,0.0036384321007096347
3.921016259904718e-8,-0.008112008395011036,,3.921016259904718e-8,-7.168237176381417e-10,,3.921016259904718e-8,0.013015361441426081,,3.921016259904718e-8,-8.380058741472189e-7,,3.921016259904718e-8,0.00369546982843891
3.985699773990416e-8,-0.006415046126750941,,3.985699773990416e-8,-7.12763382962973e-10,,3.985699773990416e-8,-0.033443548384233066,,3.985699773990416e-8,-8.380003055511273e-7,,3.985699773990416e-8,0.0037564325572175834
4.055870500941529e-8,-0.005352068783468081,,4.055870500941529e-8,-7.083192824044784e-10,,4.055870500941529e-8,0.02575771631101231,,4.055870500941529e-8,-8.379918384453508e-7,,4.055870500941529e-8,0.0038225668565405766
4.1289856659387384e-8,-0.011884641490668845,,4.1289856659387384e-8,-7.036464302503232e-10,,4.1289856659387384e-8,0.07165764009671086,,4.1289856659387384e-8,-8.379919535063894e-7,,4.1289856659387384e-8,0.003891476219153248
4.1982855375410623e-8,-0.01991013103068282,,4.1982855375410623e-8,-6.991788398818011e-10,,4.1982855375410623e-8,0.06323511166614691,,4.1982855375410623e-8,-8.380169754030691e-7,,4.1982855375410623e-8,0.003956789753532985
4.294888942842991e-8,-0.02583139466811859,,4.294888942842991e-8,-6.928911679658459e-10,,4.294888942842991e-8,0.03241411387506205,,4.294888942842991e-8,-8.380821530837402e-7,,4.294888942842991e-8,0.004047836237028042
4.3986570183128884e-8,-0.03313554739474565,,4.3986570183128884e-8,-6.860627225467618e-10,,4.3986570183128884e-8,0.08772711116109107,,4.3986570183128884e-8,-8.381562974464106e-7,,4.3986570183128884e-8,0.004145635252907557
4.5351199315900316e-8,-0.04630430871411873,,4.5351199315900316e-8,-6.769726539884387e-10,,4.5351199315900316e-8,0.0757873631148818,,4.5351199315900316e-8,-8.382562418262935e-7,,4.5351199315900316e-8,0.0042742483920109155
4.676854831460417e-8,-0.04929335352304029,,4.676854831460417e-8,-6.674071252137664e-10,,4.676854831460417e-8,0.0303864829660563,,4.676854831460417e-8,-8.383507897729713e-7,,4.676854831460417e-8,0.004407830248206707
4.849792053323028e-8,-0.03693939374482839,,4.849792053323028e-8,-6.55577735723888e-10,,4.849792053323028e-8,-0.022780198893972325,,4.849792053323028e-8,-8.383609747536318e-7,,4.849792053323028e-8,0.004570819557413055
5.043737048604455e-8,-0.016984761477722293,,5.043737048604455e-8,-6.421248390878046e-10,,5.043737048604455e-8,-0.031671410356268824,,5.043737048604455e-8,-8.382291061542634e-7,,5.043737048604455e-8,0.004753608188367527
